item_name,item_price,item_rating,item_review,product_url
ViewSonic ELITE XG350R-C 35 Inch UltraWide 21:9 Curved 1440p 100Hz RGB Gaming Monitor with FreeSync HDR10 and Advanced Ergonomics for Esports,$659.99,4.7 out of 5 stars,"1,101",https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00188431TX340COZ8LAQ&url=%2FViewSonic-Elite-XG350R-C-UltraWide-Ergonomics%2Fdp%2FB07MR337HK%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1611509773%26sr%3D8-1-spons%26psc%3D1&qualifier=1611509773&id=3099283834291602&widgetName=sp_atf
"Sceptre 35 Inch Curved UltraWide 21: 9 LED Creative Monitor QHD 3440x1440 Frameless AMD Freesync HDMI DisplayPort Up to 100Hz, Machine Black 2020 (C355W-3440UN)",$379.97,4.6 out of 5 stars,"1,459",https://amazon.com/Sceptre-C355W-3440UN-Super-Curved-Ultrawide/dp/B0812DKDD9/ref=sr_1_2?dchild=1&keywords=ultrawide+monitor&qid=1611509773&sr=8-2
"LG 29WN600-W 29"" 21:9 UltraWide WFHD IPS HDR1 0 Monitor with FreeSync, Silver",$226.99,4.7 out of 5 stars,994,https://amazon.com/LG-29WN600-W-29-21-UltraWide/dp/B0876DBCBX/ref=sr_1_3?dchild=1&keywords=ultrawide+monitor&qid=1611509773&sr=8-3
"LG 34WN80C-B 34 inch 21:9 Curved UltraWide WQHD IPS Monitor with USB Type-C Connectivity sRGB 99 percentage Color Gamut and HDR10 Compatibility, Black",$549.99,4.7 out of 5 stars,"1,968",https://amazon.com/LG-34WN80C-B-inch-Connectivity-Compatibility/dp/B07YGZ7C1K/ref=sr_1_4?dchild=1&keywords=ultrawide+monitor&qid=1611509773&sr=8-4
"VIOTEK GNV34DB 34-Inch Ultrawide Gaming Monitor, Curved 1500R UWQHD VA Panel | 100Hz 1440p Monitor Resolution | FreeSync FPS/RTS | 3 HDMI Ports DP 3.5mm Aux (VESA)",$349.99,4.5 out of 5 stars,"2,453",https://amazon.com/GNV34DB-34-Inch-Ultrawide-Resolution-FreeSync/dp/B07YWPMRXC/ref=sr_1_5?dchild=1&keywords=ultrawide+monitor&qid=1611509773&sr=8-5
ViewSonic VX2458-C-MHD 24 Inch 1080p Curved 144Hz 1ms Gaming Monitor with FreeSync Premium Eye Care HDMI and DP,$159.99,4.7 out of 5 stars,"1,646",https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03931421BR9BE8KIMIJQ&url=%2FViewSonic-VX2458-C-MHD-Curved-Monitor-FreeSync%2Fdp%2FB07H5GNR18%2Fref%3Dsr_1_6_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1611509773%26sr%3D8-6-spons%26psc%3D1&qualifier=1611509773&id=3099283834291602&widgetName=sp_mtf
"Sceptre 30-inch Curved Gaming Monitor 21:9 2560x1080 Ultra Wide Ultra Slim HDMI DisplayPort up to 200Hz Build-in Speakers, Metal Black (C305B-200UN)",$278.99,4.6 out of 5 stars,"5,380",https://amazon.com/Sceptre-30-inch-Curved-Gaming-Monitor/dp/B07TXM7K4T/ref=sr_1_7?dchild=1&keywords=ultrawide+monitor&qid=1611509773&sr=8-7
"Samsung Business CH890 Series 34 inch WQHD 3440x1440 Ultrawide Curved Desktop Monitor for Business, 100 Hz, USB-C, HDMI, DP, 3 Year Warranty (LC34H890WGNXGO), Black/Titanium",$699.99,4.5 out of 5 stars,432,https://amazon.com/Samsung-Business-3440x1440-Ultrawide-LC34H890WGNXGO/dp/B08623SZH9/ref=sr_1_8?dchild=1&keywords=ultrawide+monitor&qid=1611509773&sr=8-8
"SAMSUNG LC49RG90SSNXZA 49-Inch CRG9 Curved Gaming Monitor, Black",,4.4 out of 5 stars,"1,960",https://amazon.com/Samsung-Double-49-Inch-Monitor-LC49RG90SSNXZA/dp/B07L9HCJ2V/ref=sr_1_9?dchild=1&keywords=ultrawide+monitor&qid=1611509773&sr=8-9
LG Full HD IPS UltraWide Monitor,$149.99,4.4 out of 5 stars,"3,182",https://amazon.com/LG-25UM58-P-25-Inch-21-UltraWide/dp/B01BV1XB2K/ref=sr_1_10?dchild=1&keywords=ultrawide+monitor&qid=1611509773&sr=8-10
"Samsung 32 inch UJ59 4k monitor (LU32J590UQNXZA) - UHD, 3840 x 2160p, 60hz, 4ms, Dual monitor, laptop monitor, monitor stand / riser / mount compliant, AMD FreeSync, Gaming, HDMI, DP, Black",$319.99,4.5 out of 5 stars,733,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04811382EMHK4LTY6JEA&url=%2FSamsung-U32J590-32-Inch-LED-Lit-Monitor%2Fdp%2FB07CS3JGPC%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1611509773%26sr%3D8-11-spons%26psc%3D1&qualifier=1611509773&id=3099283834291602&widgetName=sp_mtf
"LG 34WK650-W 34"" UltraWide 21:9 IPS Monitor with HDR10 and FreeSync (2018), Black/White",$296.99,4.6 out of 5 stars,745,https://amazon.com/LG-34WK650-W-34-UltraWide-21/dp/B078GSH1LV/ref=sr_1_12?dchild=1&keywords=ultrawide+monitor&qid=1611509773&sr=8-12
"SAMSUNG LC34J791WTNXZA 34-Inch CJ791 Ultrawide Curved Gaming Monitor, White",$626.37,4.5 out of 5 stars,696,https://amazon.com/Samsung-CJ791-Thunderbolt-Curved-Monitor/dp/B07CS3JB5K/ref=sr_1_13?dchild=1&keywords=ultrawide+monitor&qid=1611509773&sr=8-13
"Acer Nitro XZ342CK Pbmiiphx 34"" 1500R Curved WQHD (3440 x 1440) VA Gaming Monitor with AMD Radeon FREESYNC, VESA Certified DisplayHDR400, 95% sRGB, 144Hz, 1ms VRB (Display Port & 2 x HDMI 2.0 Ports)",$499.99,4.5 out of 5 stars,498,https://amazon.com/Acer-XZ342CK-Pbmiiphx-Certified-DisplayHDR400/dp/B08BW3XS12/ref=sr_1_14?dchild=1&keywords=ultrawide+monitor&qid=1611509773&sr=8-14
"Sceptre 34-inch Curved UltraWide 21: 9 Creative LED Monitor 2560x1080 Frameless HDMI DisplayPort Up to 100Hz, Machine Black 2020 (C345W-2560UN)",$349.97,4.6 out of 5 stars,720,https://amazon.com/Sceptre-C345W-2560UN-34-inch-Curved-Ultrawide/dp/B0812DHWCJ/ref=sr_1_15?dchild=1&keywords=ultrawide+monitor&qid=1611509773&sr=8-15
"LG 34WK650-W 34"" UltraWide 21:9 IPS Monitor with HDR10 and FreeSync (2018), Black/White",$296.99,4.6 out of 5 stars,745,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00020462TABCF6RA1T4T&url=%2FLG-34WK650-W-34-UltraWide-21%2Fdp%2FB078GSH1LV%2Fref%3Dsr_1_16_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1611509773%26sr%3D8-16-spons%26psc%3D1&qualifier=1611509773&id=3099283834291602&widgetName=sp_mtf
"LG 34WN650-W 34-Inch 21:9 UltraWide Full HD (2560 x 1080) IPS Display with VESA DisplayHDR 400 and AMD FreeSync, Silver",$392.59,4.6 out of 5 stars,233,https://amazon.com/LG-34WN650-W-34-Inch-UltraWide-DisplayHDR/dp/B087JB656Q/ref=sr_1_17?dchild=1&keywords=ultrawide+monitor&qid=1611509773&sr=8-17
