product_name,wine_type,flavor,location,available_qty
Wine Ganja 0.75 l,"Red,  Semi-sweet",Mattress,Azerbaijan,Available 13 pcs.
Wine Jacob's Creek Cabernet Sauvignon Classic 0.75 L,"Red,  Semi-dry",Cabernet Sauvignon,"Australia,  Southeast Australia",Available 11 pcs.
"Wine Livadia, Cabernet, Tetra Pak 1 l","Red,  Dry",Cabernet Sauvignon,"Crimea,  Yalta",Available 10 pcs.
"Wine Gai-Kodzor, Merlot 0.75 L","Red,  Dry",Merlot,"Russia,  Krasnodar region,  Gai Kodzor",Available 9 pcs.
"Wine Bouchard Aine et Fils, Beaujolais Nouveau AOC 2020 0.75 L","Red,  Dry",Gamay,"France,  Burgundy,  Beaujolais",Available 7 pcs.
"Wine Le Grand Noir Pinot Noir, Pays d'Oc IGP 2019 0.75 L","Red,  Semi-dry","Pinot Noir,  Grenache / Garnacha","France,  Languedoc-Roussillon,  Minervois",Available 7 pcs.
"Wine Hardys, Legacy Red 2018 0.75 L","Red,  Semi-dry","Merlot,  Cabernet Sauvignon,  Shiraz","Australia,  Southeast Australia",Available 6 pcs.
"Wine Hardys, Mill Cellars Shiraz 2019 0.75 L","Red,  Semi-dry","Shiraz,  Cabernet Sauvignon","Australia,  Southeast Australia",Available 6 pcs.
"Wine Sangre de Toro, Catalunya DO 2017 0.187 l","Red,  Dry","Carignano,  Grenache / Garnacha","Spain,  Catalonia",Available 6 pcs.
Wine Freschello Rosso Vdt 0.75 l,"Red,  Semi-dry","Raboso,  Merlot","Italy,  Veneto,  Collie Berici",Available 6 pcs.
"Wine Cevico, Altisano Rosso Semidolce 0.75 L","Red,  Semi-sweet",Red grape varieties,Italy,Available 5 pcs.
"Вино Le Grand Noir Grenache-Syrah-Mourvedre, Jean d'Alibert 0.75 л","Красное,  Полусухое","Мурведр,  Сира,  Гренаш","Франция,  Лангедок-Руссильон",В наличии 5 шт.
"Вино Piccini, Chianti Riserva DOCG 2016 0.75 л","Красное,  Сухое","Канайоло,  Санджовезе,  Колорино","Италия,  Тоскана,  Кьянти",В наличии 5 шт.
Вино Faustino VII Tempranillo 2017 0.187 л,"Красное,  Сухое",Темпранильо,,В наличии 5 шт.
