job_title,company,location,job_summary,post_date,today
Software Engineer,Landtrack.pk (Pvt Ltd),Karachi,Looking for Software engineers that want to pursue a career in Product development. That have a technical background or knows PHP programming language is a plus…,1 day ago,2021-01-25
Software Engineer - Level II,Cyber Internet Services,Karachi,"Advanced proficiency in Python framework (Django) & Django Rest Framework. Experience creating front end applications using React.js, CSS and JavaScript.",Just posted,2021-01-25
Industry Presales Engineer,Schneider Electric,Karachi,"Knowledge in AVEVA/Schneider software would be an added advantage. Able to read & understand tendering documents, customers’ specifications requirement and…",2 days ago,2021-01-25
Senior Software Engineer,Sybrid Pvt Ltd,Karachi,Bachelor’s degree in Computer Science or Information Technology. 4 to 7 years of hands on experience. 4 to 7 years of design and/or development experience with …,4 days ago,2021-01-25
Support Engineer (Software),Efrotech Services,Karachi,A leading Software House in Karachi required Software Support Engineer for Karachi Head Office with the following job duties:,12 days ago,2021-01-25
Full Stack Software Engineer,ePAGING Pvt. LTD,Karachi,SaaS software company looking for a seasoned and highly technical full stack software engineers to develop and maintain state of the art software for the…,Today,2021-01-25
Software Quality Assurance Engineer,Hroc,Karachi,"Proven work experience in software development. Proven work experience in software quality assurance. Strong knowledge of software QA methodologies, tools and…",4 days ago,2021-01-25
Software Quality Assurance Engineer,Learning Pitch,Karachi,We are looking for an experienced and ambitious Software Quality Assurance Engineer to join our team. Create tests to identify software problems.,3 days ago,2021-01-25
IT Support Engineer,Najmi Bilgrami Pvt Ltd,Karachi,"Desktop Support – Provide expert-level hardware, software, network, and server support for mostly Windows and some Mac devices.",10 days ago,2021-01-25
Mechatronics/Maintenance Engineer (Karachi),3D LifeStyle,Karachi,"Networking, IT Hardware & Software Maintenance. Is the Largest Medical Aesthetic Center. A UK based brand and an International Company affiliated with 3D Lipo.",6 days ago,2021-01-25
SQA Engineer,Fine Solutions,Karachi,Proven work experience in software development. Proven work experience in software quality assurance.. Fine Solutions also known as Finesols is a top-tier…,3 days ago,2021-01-25
Senior Software Engineer,Right Solution,Karachi,"Should have 4+ years of working experience. Strong knowledge of PHP web frameworks such as Symfony, Laravel etc. Understanding of MVC design patterns.",4 days ago,2021-01-25
Software Support Engineer,Folio3,Karachi,"Experience in providing technical / software support. Recognize and analyze problems of high complexity, and communicate findings to customers and product…",28 days ago,2021-01-25
Software Engineer - PHP,Medusa Labs (SMC-PVT) LTD,Karachi,Looking for a Software Engineer PHP responsible for managing back-end services and the interchange of data between the server and the users.,3 days ago,2021-01-25
SQA Engineer,My Inter Academy,Karachi,We are looking for an experienced and ambitious Software Quality Assurance Engineer to join our team. Create tests to identify software problems.,28 days ago,2021-01-25
SQA Engineer,Fine Solutions,Karachi,Proven work experience in software development. Proven work experience in software quality assurance.. Fine Solutions also known as Finesols is a top-tier…,3 days ago,2021-01-25
Senior Software Engineer,Right Solution,Karachi,"Should have 4+ years of working experience. Strong knowledge of PHP web frameworks such as Symfony, Laravel etc. Understanding of MVC design patterns.",4 days ago,2021-01-25
Software Support Engineer,Folio3,Karachi,"Experience in providing technical / software support. Recognize and analyze problems of high complexity, and communicate findings to customers and product…",28 days ago,2021-01-25
Software Engineer - PHP,Medusa Labs (SMC-PVT) LTD,Karachi,Looking for a Software Engineer PHP responsible for managing back-end services and the interchange of data between the server and the users.,3 days ago,2021-01-25
SQA Engineer,My Inter Academy,Karachi,We are looking for an experienced and ambitious Software Quality Assurance Engineer to join our team. Create tests to identify software problems.,28 days ago,2021-01-25
