saas_dir,app_name,app_category,domain
softwaresuggest,SAP Litmos,Compliance Training,www.sap.com
softwaresuggest,SkyPrep,Compliance Training,skyprep.com
softwaresuggest,Lessonly,Compliance Training,www.lessonly.com
softwaresuggest,Absorb LMS,Compliance Training,www.absorblms.com
softwaresuggest,Convercent,Compliance Training,www.convercent.com
softwaresuggest,AssurX Change,Compliance Training,www.assurx.com
softwaresuggest,Valamis,Compliance Training,www.valamis.com
softwaresuggest,Gensuite,Compliance Training,www.gensuite.com
softwaresuggest,eSafety LMS,Compliance Training,www.esafety.com
softwaresuggest,UpsideLMS,Compliance Training,www.upsidelms.com
softwaresuggest,Docebo,Compliance Training,www.docebo.com
softwaresuggest,SkillCast,Compliance Training,www.skillcast.com
softwaresuggest,Meridian LMS,Compliance Training,www.meridianks.com
softwaresuggest,ProProfs Training Maker,Compliance Training,www.proprofs.com
softwaresuggest,Accountable,Compliance Training,www.accountablehq.com
softwaresuggest,Cornerstone OnDemand,Compliance Training,www.cornerstoneondemand.com
softwaresuggest,emTRAiN LMS,Compliance Training,emtrain.com
softwaresuggest,Riliance,Compliance Training,www.theaccessgroup.com
softwaresuggest,PeopleFluent,Compliance Training,www.peoplefluent.com
softwaresuggest,MedTrainer,Compliance Training,medtrainer.com
softwaresuggest,Zoho CRM Tools,Compliance Training,www.zoho.com
softwaresuggest,TalentLMS,Compliance Training,www.talentlms.com
softwaresuggest,SalesBabu Online CRM,Compliance Training,www.salesbabu.com
softwaresuggest,AppsTec DMS,Compliance Training,appstec-me.com
softwaresuggest,Recruiterbox,Compliance Training,recruiterbox.com
softwaresuggest,WINHRMPAYROLL,Compliance Training,www.winhrmpayroll.com
softwaresuggest,MyPass LMS,Compliance Training,kprise.com
softwaresuggest,Setmore,Compliance Training,www.setmore.com
softwaresuggest,Safeguard,Compliance Training,www.sentrient.com.au
softwaresuggest,Healthicity Compliance,Compliance Training,www.healthicity.com
softwaresuggest,KITABOO,Compliance Training,kitaboo.com
softwaresuggest,AlphaLearn,Compliance Training,alphalearn.in
softwaresuggest,PopSQL,Compliance Training,popsql.com
softwaresuggest,Keka,360 Degree Feedback,signup.keka.com
softwaresuggest,Sage HR (formerly CakeHR),360 Degree Feedback,sage.hr
softwaresuggest,Qandle,360 Degree Feedback,www.qandle.com
softwaresuggest,Synergita,360 Degree Feedback,www.synergita.com
softwaresuggest,HRMantra,360 Degree Feedback,www.hrmantra.com
softwaresuggest,Akrivia HCM,360 Degree Feedback,www.akriviahcm.com
softwaresuggest,PossibleWorks,360 Degree Feedback,pw.viewpage.co
softwaresuggest,TalentGuard,360 Degree Feedback,www.talentguard.com
softwaresuggest,SABA HR,360 Degree Feedback,www.cornerstoneondemand.com
softwaresuggest,Spidergap,360 Degree Feedback,www.spidergap.com
softwaresuggest,Qualtrics,360 Degree Feedback,www.qualtrics.com
softwaresuggest,Lattice Goals,360 Degree Feedback,lattice.com
softwaresuggest,Primalogik 360,360 Degree Feedback,app.primalogik.com
softwaresuggest,Grapevine Evaluations,360 Degree Feedback,www.grapevineevaluations.com
softwaresuggest,HROne - Complete HR Software,360 Degree Feedback,reimaginehr.hrone.cloud
softwaresuggest,Zoho People,360 Degree Feedback,www.zoho.com
softwaresuggest,15Five,360 Degree Feedback,www.15five.com
softwaresuggest,Mercer Mettl,360 Degree Feedback,mettl.com
